C;Ursa Minor;16.76615597;82
C;Aquila;19.5;3
19.92187948;6.40793334;19.84630057;8.86738491	
19.84630057;8.86738491;19.77099171;10.61326869	
19.77099171;10.61326869;19.56811881;7.37931918	
19.56811881;7.37931918;19.42493129;3.11457923	
19.42493129;3.11457923;19.8745455;1.00567827	
19.8745455;1.00567827;20.18840688;-0.82147569	
19.42493129;3.11457923;19.09017012;13.86370983	
19.09017012;13.86370983;18.99371922;15.06847757	
19.42493129;3.11457923;19.10415275;-4.88233456	
19.10415275;-4.88233456;19.02801149;-5.73901832
C;Delphinus;20.6;13.3
20.55354577;11.30333217;20.62579715;14.59520289	
20.62579715;14.59520289;20.66062626;15.9120527	
20.66062626;15.9120527;20.77764388;16.12477326	
20.77764388;16.12477326;20.72431825;15.07468224	
20.72431825;15.07468224;20.62579715;14.59520289	
C;Equuleus;21.3;7.3
21.26372131;5.2480739;21.17235307;10.13194861	
21.17235307;10.13194861;21.24133058;10.00771855	
21.24133058;10.00771855;21.38155049;6.81111338	
21.38155049;6.81111338;21.26372131;5.2480739	
C;Sagitta;19.9;18.7
20.08596517;19.99087704;19.97927434;19.49209287	
19.97927434;19.49209287;19.78979589;18.53425912	
19.78979589;18.53425912;19.68414825;17.47612356	
19.78979589;18.53425912;19.66827292;18.01393839	
C;Vulpecula;20;25
19.27028877;21.39044277;19.4784475;24.66516482	
19.4784475;24.66516482;19.89102245;24.07952568
C;Serpens;15.8;2.2
17.34712098;-12.846882;17.62645145;-15.39840835	
17.62645145;-15.39840835;17.69025458;-12.87517268	
17.69025458;-12.87517268;18.35525571;-2.897122	
18.35525571;-2.897122;18.93698898;4.20352956
17.34712098;-12.846882;15.82701825;-3.43014112
15.82701825;-3.43014112;15.83820259;2.19662489	
15.83820259;2.19662489;15.84691422;4.4775798	
15.84691422;4.4775798;15.7377766;6.42551971	
15.7377766;6.42551971;15.58005284;10.53885916	
15.58005284;10.53885916;15.76978191;15.42192602	
15.76978191;15.42192602;15.69252564;19.67050566	
15.69252564;19.67050566;15.81233572;18.1417793	
15.81233572;18.1417793;15.94083173;15.66473327	
15.94083173;15.66473327;15.76978191;15.42192602
C;Ophiuchus;17.3;-0.5
17.3893308;-28.14276032;17.25591313;-26.60004896	
17.25591313;-26.60004896;17.36682891;-24.99948797	
17.36682891;-24.99948797;17.43950482;-24.17502346	
17.43950482;-24.17502346;17.35005841;-21.11243499	
17.35005841;-21.11243499;17.17296177;-15.72514757
17.17296177;-15.72514757;17.72454914;4.56691684
17.72454914;4.56691684;17.79821501;2.70745875	
17.79821501;2.70745875;17.9837771;-9.77334973	
17.79821501;2.70745875;18.01075431;2.93158759	
18.01075431;2.93158759;18.09089245;2.50243928	
17.72454914;4.56691684;16.96118627;9.37505626
17.72454914;4.56691684;17.58222354;12.56057584	
16.96118627;9.37505626;17.58222354;12.56057584	
16.96118627;9.37505626;16.61931389;-10.5671518	
16.61931389;-10.5671518;17.17296177;-15.72514757	
16.61931389;-10.5671518;16.51899859;-16.61264015	
16.51899859;-16.61264015;16.45039952;-18.45619698	
16.45039952;-18.45619698;16.40172146;-20.03721137	
16.40172146;-20.03721137;16.53560738;-21.46647783	
16.96118627;9.37505626;16.51523367;1.98410056	
16.51523367;1.98410056;16.23910173;-3.69397562	
16.23910173;-3.69397562;16.30534466;-4.69260809
16.30534466;-4.69260809;16.46339637;-8.37170055
C;Scutum;18.6;-8.3
18.7862437;-4.74782871;18.58678829;-8.24330819	
18.58678829;-8.24330819;18.48662553;-14.56580499	
18.58678829;-8.24330819;18.3943205;-8.93451038
C;Sagittarius;19.6;-31.3
18.2293913;-21.05883031;18.09681239;-30.42365007	
18.09681239;-30.42365007;18.29381366;-36.76128103	
18.29381366;-36.76128103;18.40287397;-34.3843146	
18.40287397;-34.3843146;18.34989489;-29.82803914
18.34989489;-29.82803914;18.46618597;-25.42124732	
18.46618597;-25.42124732;18.2293913;-21.05883031
18.34989489;-29.82803914;18.76093138;-26.9907794
18.76093138;-26.9907794;19.04353428;-29.88011429	
19.04353428;-29.88011429;19.11567841;-27.66981416
19.04353428;-29.88011429;19.3980976;-40.61564629	
19.3980976;-40.61564629;19.37730181;-44.45891013	
19.3980976;-40.61564629;19.99560397;-35.27624433	
19.99560397;-35.27624433;19.92102196;-41.8684135	
19.99560397;-35.27624433;19.11567841;-27.66981416	
19.11567841;-27.66981416;18.92108797;-26.29659428
18.92108797;-26.29659428;18.76093138;-26.9907794	
18.92108797;-26.29659428;18.96216103;-21.10662433	
18.92108797;-26.29659428;19.1627316;-21.02352534	
18.96216103;-21.10662433;19.1627316;-21.02352534	
19.1627316;-21.02352534;19.36121535;-17.84725155	
19.36121535;-17.84725155;19.36211722;-15.95500233
18.09681239;-30.42365007;18.34989489;-29.82803914
C;Scorpius;16.6;-32
17.512733;-37.29574016;17.56014624;-37.10374835	
17.56014624;-37.10374835;17.70813327;-39.02992092	
17.70813327;-39.02992092;17.79307809;-40.12698197	
17.79307809;-40.12698197;17.62197938;-42.99782155	
17.62197938;-42.99782155;17.20254886;-43.23849039	
17.20254886;-43.23849039;16.86451079;-38.04732717	
16.86451079;-38.04732717;16.83617915;-34.29260982	
16.83617915;-34.29260982;16.59804428;-28.21596156	
16.59804428;-28.21596156;16.49012986;-26.43194608	
16.49012986;-26.43194608;16.35314514;-25.59275259	
16.35314514;-25.59275259;16.20505881;-27.92631564	
16.20505881;-27.92631564;15.94807962;-29.21401221	
15.94807962;-29.21401221;15.98086685;-26.1140428	
16.35314514;-25.59275259;16.19992791;-19.46064684	
16.19992791;-19.46064684;16.0906208;-19.80539286	
16.0906208;-19.80539286;16.00555881;-22.62162024
C;Libra;15.2;-19.6
15.64427343;-29.77768935;15.61707183;-28.13507099	
15.61707183;-28.13507099;15.59209426;-14.78955365	
15.59209426;-14.78955365;14.84799369;-16.04161047	
15.59209426;-14.78955365;15.28346439;-9.38286694	
15.28346439;-9.38286694;14.84799369;-16.04161047	
14.84799369;-16.04161047;15.06785052;-25.28185602
C;Lupus;15.2;-44.5
16.10987675;-36.80221297;15.84931715;-33.62710488	
15.84931715;-33.62710488;15.36345457;-36.26116729
15.36345457;-36.26116729;16.00203902;-38.39664079	
15.36345457;-36.26116729;14.97554279;-43.13386699	
14.97554279;-43.13386699;14.86064536;-43.57529383	
14.86064536;-43.57529383;14.69882606;-47.38814127	
14.69882606;-47.38814127;14.43633376;-45.37926095	
14.69882606;-47.38814127;14.32339798;-46.05808391	
14.69882606;-47.38814127;14.63145864;-49.42575765	
14.63145864;-49.42575765;14.54363429;-50.45712132	
14.63145864;-49.42575765;15.08530713;-47.05119386	
15.08530713;-47.05119386;15.19893362;-48.73770212	
15.19893362;-48.73770212;15.20477865;-52.09907465	
15.08530713;-47.05119386;15.1473971;-45.27979406
15.1473971;-45.27979406;15.30890239;-47.87519201	
15.30890239;-47.87519201;15.37802431;-44.68957314	
15.1473971;-45.27979406;15.35620455;-40.64745946
15.35620455;-40.64745946;15.58568343;-41.16669497	
15.58568343;-41.16669497;15.63425619;-42.56748493	
15.63425619;-42.56748493;15.59812916;-44.95833688	
15.35620455;-40.64745946;15.38593424;-36.85843627		
15.38593424;-36.85843627;15.36345457;-36.26116729
C;Hydra;10.5;-17.2
14.10618582;-26.68201883;13.31534816;-23.17141246	
13.31534816;-23.17141246;13.15091194;-23.11797275
13.15091194;-23.11797275;11.88182257;-33.90813014	
11.88182257;-33.90813014;11.55007195;-31.85752405	
11.55007195;-31.85752405;10.82706446;-16.19413208	
10.82706446;-16.19413208;10.43486251;-16.83609584	
10.43486251;-16.83609584;10.17649919;-12.35383921	
10.17649919;-12.35383921;9.85796735;-14.84654997	
